# ,x1 (mm) , x2 (mm) ,x3 (mm) ,x4 (mm) ,stroke of hand  (mm) ,Frequency (Hz) , Equivalent Stress  (MPa) ,Safety Factor 
1,7.410202316,4.789889188,1.011228032,2.494493066,1.257743478,97.52342657,13.42460415,1.638782027
2,6.669182084,4.789889188,1.011228032,2.494493066,1.265543818,91.89775681,11.80615764,1.863434376
3,8.151222547,4.789889188,1.011228032,2.494493066,1.247795105,102.2860648,12.93105492,1.701330644
4,7.410202316,4.310900269,1.011228032,2.494493066,1.255532861,97.0115078,12.15950929,1.809283539
5,7.410202316,5.268878106,1.011228032,2.494493066,1.25752306,97.32760641,11.87026711,1.853370256
6,7.410202316,4.789889188,0.910105228,2.494493066,1.323506832,95.42084661,12.67979859,1.735043332
7,7.410202316,4.789889188,1.112350835,2.494493066,1.200685501,103.6135979,11.55275861,1.904307078
8,7.410202316,4.789889188,1.011228032,2.24504376,1.259997129,96.72316011,13.5258977,1.626509418
9,7.410202316,4.789889188,1.011228032,2.743942373,1.255566001,98.18669398,13.68163677,1.607994743
10,6.888371437,4.452582327,0.940016749,2.318829373,1.312660098,91.42665979,11.55188752,1.904450676
11,7.932033194,4.452582327,0.940016749,2.318829373,1.300421834,98.17721674,14.17769426,1.551733279
12,6.888371437,5.127196049,0.940016749,2.318829373,1.317241907,91.80082317,11.73381096,1.874923678
13,7.932033194,5.127196049,0.940016749,2.318829373,1.301772356,98.93894305,12.53833755,1.754618578
14,6.888371437,4.452582327,1.082439314,2.318829373,1.225087285,95.28008591,11.63694627,1.89053034
15,7.932033194,4.452582327,1.082439314,2.318829373,1.207578897,102.0856794,13.92097016,1.580349627
16,6.888371437,5.127196049,1.082439314,2.318829373,1.22132504,95.17983644,11.25022132,1.955517085
17,7.932033194,5.127196049,1.082439314,2.318829373,1.207823396,102.3272757,12.57237864,1.749867756
18,6.888371437,4.452582327,0.940016749,2.67015676,1.310305715,92.77560396,11.59383575,1.89756009
19,7.932033194,4.452582327,0.940016749,2.67015676,1.30145371,99.51720465,12.83476902,1.714093956
20,6.888371437,5.127196049,0.940016749,2.67015676,1.310251236,93.10637167,11.17519869,1.968645087
21,7.932033194,5.127196049,0.940016749,2.67015676,1.305206537,103.7744829,12.09559022,1.818844687
22,6.888371437,4.452582327,1.082439314,2.67015676,1.222227454,95.86086958,11.82897583,1.859839796
23,7.932033194,4.452582327,1.082439314,2.67015676,1.211437941,102.9670154,12.50584096,1.759177977
24,6.888371437,5.127196049,1.082439314,2.67015676,1.213776231,95.77523008,12.00133389,1.833129568
25,7.932033194,5.127196049,1.082439314,2.67015676,1.211605072,107.0183661,12.23702345,1.797822819
